-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Observed     |  Rel. |    Aki     | Acc. |       Ei           Ek       |          Lower level          |            Upper level             |  gi   gk  |Type|         TP  |   Line  |
    Wavelength    |  Int. |   (s^-1)   |      |     (cm-1)       (cm-1)     |-------------------------------|------------------------------------|           |    |        Ref. |   Ref.  |
     Air (nm)     |       |            |      |                             | Conf.            | Term | J   | Conf.                 | Term | J   |           |    |             |         |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Wavelength    |  Rel  |    Aki     | Acc  |              Ei - Ek        | L Conf           |L Term| L J | U Conf                |U Term| U J |   gi - gk |Type|  TP         |   Line  |
        777.539   |   750 | 3.69e+07   | A    |   73768.200  -    86625.757 | 2s2.2p3.(4S*).3s | 5S*  | 2   | 2s2.2p3.(4S*).3p      | 5P   | 1   |   5 - 3   |    |    T5803,LS |  L3760  |
        788.627   |    80 |            |      |  115918.143  -   128594.916 | 2s2.2p3.(2P*).3s | 1P*  | 1   | 2s2.2p3.(2P*).3p      | 1D   | 2   |   3 - 5   |    |             |  L3760  |
        794.315   |   100 |            |      |  101135.407  -   113721.413 | 2s2.2p3.(2D*).3s | 3D*  | 3   | 2s2.2p3.(2D*).3p      | 3F   | 3   |   7 - 7   |    |             |  L3760  |
        794.717   |   100 |            |      |  101147.526  -   113727.165 | 2s2.2p3.(2D*).3s | 3D*  | 2   | 2s2.2p3.(2D*).3p      | 3F   | 2   |   5 - 5   |    |             |  L3760  |
        794.755   |   235 |            |      |  101135.407  -   113714.444 | 2s2.2p3.(2D*).3s | 3D*  | 3   | 2s2.2p3.(2D*).3p      | 3F   | 4   |   7 - 9   |    |             |  L3760  |
        795.080   |   210 |            |      |  101147.526  -   113721.413 | 2s2.2p3.(2D*).3s | 3D*  | 2   | 2s2.2p3.(2D*).3p      | 3F   | 3   |   5 - 7   |    |             |  L3760  |
        795.216   |   185 |            |      |  101155.422  -   113727.165 | 2s2.2p3.(2D*).3s | 3D*  | 1   | 2s2.2p3.(2D*).3p      | 3F   | 2   |   3 - 5   |    |             |  L3760  |
        798.194   |   110 | 2.33e+04   | C    |   88630.587  -   101155.422 | 2s2.2p3.(4S*).3p | 3P   | 1   | 2s2.2p3.(2D*).3s      | 3D*  | 1   |   3 - 3   |    |    T5803,LS |  L3760  |
        798.240   |   135 | 3.09e+04   | C    |   88631.303  -   101155.422 | 2s2.2p3.(4S*).3p | 3P   | 0   | 2s2.2p3.(2D*).3s      | 3D*  | 1   |   1 - 3   |    |    T5803,LS |  L3760  |
        798.698   |   190 | 4.19e+04   | C    |   88630.587  -   101147.526 | 2s2.2p3.(4S*).3p | 3P   | 1   | 2s2.2p3.(2D*).3s      | 3D*  | 2   |   3 - 5   |    |    T5803,LS |  L3760  |
        798.733   |   135 | 1.41e+04   | C    |   88631.146  -   101147.526 | 2s2.2p3.(4S*).3p | 3P   | 2   | 2s2.2p3.(2D*).3s      | 3D*  | 2   |   5 - 5   |    |    T5803,LS |  L3760  |
        799.507   |   250 | 5.63e+04   | C    |   88631.146  -   101135.407 | 2s2.2p3.(4S*).3p | 3P   | 2   | 2s2.2p3.(2D*).3s      | 3D*  | 3   |   5 - 7   |    |    T5803,LS |  L3760  |
