-----------------------------------------------------------------------------------------------------------------------------------------------------------------
     Observed     |  Rel. |    Aki     | Acc. |      Ei           Ek      |     Lower level      |     Upper level     |  gi   gk  |Type|         TP  |   Line  |
    Wavelength    |  Int. |   (s^-1)   |      |    (cm-1)       (cm-1)    |----------------------|---------------------|           |    |        Ref. |   Ref.  |
     Air (nm)     |       |            |      |                           | Conf.   | Term | J   | Conf.  | Term | J   |           |    |             |         |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
    Wavelength    |  Rel  |    Aki     | Acc  |              Ei - Ek      | L Conf  |L Term| L J | U Conf |U Term| U J |   gi - gk |Type|       TP    |   Line  |
        416.72712 |    15 | 1.38e+07   | C+   |  35051.264  -   59041.019 | 3s.3p   | 1P*  | 1   | 3s.7d  | 1D   | 2   |   3 - 5   |    |       T5539 |  L7428  |
        435.19056 |    20 | 1.84e+07   | B+   |  35051.264  -   58023.246 | 3s.3p   | 1P*  | 1   | 3s.6d  | 1D   | 2   |   3 - 5   |    |       T5539 |  L7428  |
        435.4529  |     6 |            |      |  35051.264  -   58009.41  | 3s.3p   | 1P*  | 1   | 3s.7s  | 1S   | 0   |   3 - 1   |    |             |  L6095  |
        438.0375  |     6 |            |      |  35051.264  -   57873.94  | 3s.3p   | 1P*  | 1   | 3p2    | 3P   | 2   |   3 - 5   |    |             |  L6095  |
        457.10956 |   28g | 2.54e+02   | D    |      0.000  -   21870.464 | 2p6.3s2 | 1S   | 0   | 3s.3p  | 3P*  | 1   |   1 - 3   |    |         c45 |  L7428  |
        462.1299  |     3 |            |      |  21870.464  -   43503.333 | 3s.3p   | 3P*  | 1   | 3s.4s  | 1S   | 0   |   3 - 1   |    |             |  L6095  |
        470.29909 |    30 | 2.19e+07   | B+   |  35051.264  -   56308.381 | 3s.3p   | 1P*  | 1   | 3s.5d  | 1D   | 2   |   3 - 5   |    |       T5539 |  L7428  |
        473.00285 |    10 | 1.34e+06   | C+   |  35051.264  -   56186.873 | 3s.3p   | 1P*  | 1   | 3s.6s  | 1S   | 0   |   3 - 1   |    |       T5539 |  L7428  |
        516.73216 |    42 | 1.13e+07   | B+   |  21850.405  -   41197.403 | 3s.3p   | 3P*  | 0   | 3s.4s  | 3S   | 1   |   1 - 3   |    |         c45 |  L7428  |
        517.26843 |    44 | 3.37e+07   | B+   |  21870.464  -   41197.403 | 3s.3p   | 3P*  | 1   | 3s.4s  | 3S   | 1   |   3 - 3   |    |         c45 |  L7428  |
        518.36042 |    45 | 5.61e+07   | A    |  21911.178  -   41197.403 | 3s.3p   | 3P*  | 2   | 3s.4s  | 3S   | 1   |   5 - 3   |    |         c45 |  L7428  |
        534.5977  |   1d* |            |      |  41197.403  -   59897.86  | 3s.4s   | 3S   | 1   | 3s.9p  | 3P*  | 0   |   3 - 1   |    |             |  L6095  |
        534.5977  |   1d* |            |      |  41197.403  -   59897.86  | 3s.4s   | 3S   | 1   | 3s.9p  | 3P*  | 1   |   3 - 3   |    |             |  L6095  |
        534.5977  |   1d* |            |      |  41197.403  -   59897.86  | 3s.4s   | 3S   | 1   | 3s.9p  | 3P*  | 2   |   3 - 5   |    |             |  L6095  |
        550.9597  |   2d* |            |      |  41197.403  -   59342.51  | 3s.4s   | 3S   | 1   | 3s.8p  | 3P*  | 2   |   3 - 5   |    |             |  L6095  |
        550.9597  |   2d* |            |      |  41197.403  -   59342.51  | 3s.4s   | 3S   | 1   | 3s.8p  | 3P*  | 0   |   3 - 1   |    |             |  L6095  |
        550.9597  |   2d* |            |      |  41197.403  -   59342.51  | 3s.4s   | 3S   | 1   | 3s.8p  | 3P*  | 1   |   3 - 3   |    |             |  L6095  |
        552.84047 |    40 | 1.39e+07   | B+   |  35051.264  -   53134.642 | 3s.3p   | 1P*  | 1   | 3s.4d  | 1D   | 2   |   3 - 5   |    |       T5539 |  L7428  |
        571.10880 |    30 | 3.86e+06   | B    |  35051.264  -   52556.206 | 3s.3p   | 1P*  | 1   | 3s.5s  | 1S   | 0   |   3 - 1   |    |       T5539 |  L7428  |
        578.5312  |     5 |            |      |  41197.403  -   58477.760 | 3s.4s   | 3S   | 1   | 3s.7p  | 3P*  | 2   |   3 - 5   |    |             |  L6095  |
        578.5560  |     4 |            |      |  41197.403  -   58477.020 | 3s.4s   | 3S   | 1   | 3s.7p  | 3P*  | 1   |   3 - 3   |    |             |  L6095  |
        631.8716  |    10 | 2.63e+05   | D+   |  41197.403  -   57019.025 | 3s.4s   | 3S   | 1   | 3s.6p  | 3P*  | 2   |   3 - 5   |    | T6298c72,LS |  L6095  |
        631.9236  |     9 | 2.64e+05   | D    |  41197.403  -   57017.724 | 3s.4s   | 3S   | 1   | 3s.6p  | 3P*  | 1   |   3 - 3   |    | T6298c72,LS |  L6095  |
        631.9493  |     7 | 2.63e+05   | E    |  41197.403  -   57017.078 | 3s.4s   | 3S   | 1   | 3s.6p  | 3P*  | 0   |   3 - 1   |    | T6298c72,LS |  L6095  |
