-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed    |           Rel. |    Aki     | Acc. |      Ei           Ek      |        Lower level         |        Upper level         |  gi   gk  |   Type|    TP  |         Line  |
   Wavelength   |           Int. |   (s^-1)   |      |    (cm-1)       (cm-1)    |----------------------------|----------------------------|           |       |   Ref. |         Ref.  |
    Air (nm)    |                |            |      |                           | Conf.         | Term | J   | Conf.         | Term | J   |           |       |        |               |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Wavelength    |  Rel           |    Aki     | Acc  |              Ei - Ek      | L Conf        |L Term| L J | U Conf        |U Term| U J |   gi - gk |Type   |  TP    |   Line        |
       309.6971 |             43 |            |      |   93392.55  -   125673.05 | 3d5.(b 2F).4s | 3F   | 3   | 3d5.(4D).4p   | 3F*  | 2   |   7 - 5   |       |        |        L1171  |
       309.901  |          43wh* |            |      |   93413.07  -   125673.05 | 3d5.(b 2F).4s | 3F   | 2   | 3d5.(4D).4p   | 3F*  | 2   |   5 - 5   |       |        |        L1171  |
       309.901  |          43wh* |            |      |  105929.25  -   138187.96 | 3d5.(b 2D).4s | 3D   | 3   | 3d5.(2H).4p   | 3G*  | 3   |   7 - 7   |       |        |        L1171  |
       310.0470 |            100 |            |      |   89697.74  -   121941.47 | 3d5.(a 2G).4s | 3G   | 3   | 3d5.(4G).4p   | 3G*  | 4   |   7 - 9   |       |        |        L1171  |
       310.2548 |             40 |            |      |   89697.74  -   121919.84 | 3d5.(a 2G).4s | 3G   | 3   | 3d5.(4G).4p   | 3G*  | 3   |   7 - 7   |       |        |        L1171  |
       310.7977 |            340 |            |      |   89783.78  -   121949.78 | 3d5.(a 2G).4s | 3G   | 4   | 3d5.(4G).4p   | 3G*  | 5   |   9 - 11  |       |        |        L1171  |
       310.885  |    37bl(Fe II) |            |      |   84159.77  -   116316.85 | 3d5.(a 2F).4s | 3F   | 4   | 3d5.(4G).4p   | 5F*  | 5   |   9 - 11  |       |        |  L3495,L1171  |
       311.0074 |            710 |            |      |   90484.18  -   122628.53 | 3d5.(4F).4s   | 3F   | 3   | 3d5.(4D).4p   | 5D*  | 2   |   7 - 5   |       |        |        L1171  |
       311.088  |     98bl(Fe I) |            |      |   89783.78  -   121919.84 | 3d5.(a 2G).4s | 3G   | 4   | 3d5.(4G).4p   | 3G*  | 3   |   9 - 7   |       |        |        L1171  |
       311.1616 |            440 |            |      |   83161.80  -   115290.31 | 3d5.(4F).4s   | 5F   | 4   | 3d5.(4G).4p   | 5H*  | 5   |   9 - 11  |       |        |        L1171  |
       311.3839 |             35 |            |      |   84370.15  -   116475.56 | 3d5.(a 2F).4s | 3F   | 2   | 3d5.(4G).4p   | 5F*  | 3   |   5 - 7   |       |        |        L1171  |
       311.826  |    95bl(Fe II) |            |      |  119697.69  -   151757.82 | 3d5.(4P).4p   | 3P*  | 2   | 3d5.(6S).5s   | 5S   | 2   |   5 - 5   |       |        |        L1171  |
       311.8754 |            150 |            |      |   93388.77  -   125443.72 | 3d5.(b 2F).4s | 3F   | 4   | 3d5.(4D).4p   | 3F*  | 4   |   9 - 9   |       |        |        L1171  |
       311.9259 |             55 |            |      |   84370.15  -   116419.72 | 3d5.(a 2F).4s | 3F   | 2   | 3d5.(4P).4p   | 5D*  | 2   |   5 - 5   |       |        |        L1171  |
       312.003  |    60bl(Fe II) |            |      |   89908.09  -   121949.78 | 3d5.(a 2G).4s | 3G   | 5   | 3d5.(4G).4p   | 3G*  | 5   |  11 - 11  |       |        |        L1171  |
       312.0862 |             94 |            |      |   89908.09  -   121941.47 | 3d5.(a 2G).4s | 3G   | 5   | 3d5.(4G).4p   | 3G*  | 4   |  11 - 9   |       |        |        L1171  |
       312.3152 |            610 |            |      |   84370.15  -   116380.24 | 3d5.(a 2F).4s | 3F   | 2   | 3d5.(4P).4p   | 5D*  | 1   |   5 - 3   |       |        |        L1171  |
       313.0858 |             61 |            |      |   93512.71  -   125443.72 | 3d5.(a 2G).4s | 1G   | 4   | 3d5.(4D).4p   | 3F*  | 4   |   9 - 9   |       |        |        L1171  |
       313.642  |          1200p | 1.5e+06    | D    |   90472.61  -   122346.75 | 3d5.(4F).4s   | 3F   | 4   | 3d5.(4P).4p   | 3D*  | 3   |   9 - 7   |       |  T6105 |        L1171  |
       313.649  |           120p |            |      |   83238.19  -   115111.37 | 3d5.(4F).4s   | 5F   | 3   | 3d5.(4G).4p   | 5H*  | 4   |   7 - 9   |       |        |        L1171  |
       314.3386 |             51 |            |      |   84672.08  -   116475.56 | 3d5.(a 2F).4s | 3F   | 3   | 3d5.(4G).4p   | 5F*  | 3   |   7 - 7   |       |        |        L1171  |
       314.418  |            31* |            |      |   87902.06  -   119697.69 | 3d5.(a 2F).4s | 1F   | 3   | 3d5.(4P).4p   | 3P*  | 2   |   7 - 5   |       |        |        L1171  |
       314.418  |            31* |            |      |   84672.08  -   116467.59 | 3d5.(a 2F).4s | 3F   | 3   | 3d5.(4G).4p   | 5F*  | 4   |   7 - 9   |       |        |        L1171  |
       315.8143 |             25 |            |      |  105906.27  -   137561.18 | 3d5.(b 2D).4s | 3D   | 2   | 3d5.(4F).4p   | 5D*  | 1   |   5 - 3   |       |        |        L1171  |
       316.207  |     25bl(Fe I) |            |      |  105929.25  -   137544.70 | 3d5.(b 2D).4s | 3D   | 3   | 3d5.(4F).4p   | 5D*  | 2   |   7 - 5   |       |        |        L1171  |
       316.4687 |            110 |            |      |   83359.20  -   114948.83 | 3d5.(4F).4s   | 5F   | 2   | 3d5.(4G).4p   | 5H*  | 3   |   5 - 7   |       |        |        L1171  |
       316.7553 |             31 |            |      |   89908.09  -   121469.06 | 3d5.(a 2G).4s | 3G   | 5   | 3d5.(4D).4p   | 5F*  | 5   |  11 - 11  |       |        |        L1171  |
       316.943  |            83p |            |      |   93413.07  -   124955.09 | 3d5.(b 2F).4s | 3F   | 2   | 3d5.(4D).4p   | 3D*  | 1   |   5 - 3   |       |        |        L1171  |
       317.0954 |             86 |            |      |  158257.45  -   189784.65 | 3d5.(b 2D).4p | 3D*  | 1   | 3d5.(4D).5s   | 3D   | 2   |   3 - 5   |       |        |        L1171  |
       317.4089 |           1000 |            |      |   90423.78  -   121919.84 | 3d5.(4F).4s   | 3F   | 2   | 3d5.(4G).4p   | 3G*  | 3   |   5 - 7   |       |        |        L1171  |
       317.4331 |             39 |            |      |  105929.25  -   137422.88 | 3d5.(b 2D).4s | 3D   | 3   | 3d5.(4F).4p   | 5D*  | 3   |   7 - 7   |       |        |        L1171  |
       317.4610 |             19 |            |      |   93413.07  -   124904.09 | 3d5.(b 2F).4s | 3F   | 2   | 3d5.(4D).4p   | 3D*  | 2   |   5 - 5   |       |        |        L1171  |
       317.5993 |           1000 |            |      |   90472.61  -   121949.78 | 3d5.(4F).4s   | 3F   | 4   | 3d5.(4G).4p   | 3G*  | 5   |   9 - 11  |       |        |        L1171  |
       317.6838 |             77 |            |      |   90472.61  -   121941.47 | 3d5.(4F).4s   | 3F   | 4   | 3d5.(4G).4p   | 3G*  | 4   |   9 - 9   |       |        |        L1171  |
       317.801  |   1000bl(Fe I) |            |      |   90484.18  -   121941.47 | 3d5.(4F).4s   | 3F   | 3   | 3d5.(4G).4p   | 3G*  | 4   |   7 - 9   |       |        |        L1171  |
       318.595  |            82h |            |      |  158416.72  -   189796.14 | 3d5.(b 2D).4p | 3D*  | 2   | 3d5.(4D).5s   | 3D   | 1   |   5 - 3   |       |        |        L1171  |
       318.9745 |             77 |            |      |   93512.71  -   124854.11 | 3d5.(a 2G).4s | 1G   | 4   | 3d5.(4D).4p   | 3D*  | 3   |   9 - 7   |       |        |        L1171  |
       319.0514 |             29 |            |      |   89908.09  -   121241.90 | 3d5.(a 2G).4s | 3G   | 5   | 3d5.(4D).4p   | 5F*  | 4   |  11 - 9   |       |        |        L1171  |
       319.8822 |            150 |            |      |   82383.08  -   113635.56 | 3d5.(a 2D).4s | 3D   | 3   | 3d5.(4G).4p   | 5G*  | 4   |   7 - 9   |       |        |        L1171  |
       320.1637 |             44 |            |      |   89783.78  -   121008.91 | 3d5.(a 2G).4s | 3G   | 4   | 3d5.(4D).4p   | 5F*  | 3   |   9 - 7   |       |        |        L1171  |
       320.1893 |             40 |            |      |   82383.08  -   113605.74 | 3d5.(a 2D).4s | 3D   | 3   | 3d5.(4G).4p   | 5G*  | 3   |   7 - 7   |       |        |        L1171  |
       320.4763 |            210 |            |      |   82411.15  -   113605.74 | 3d5.(a 2D).4s | 3D   | 2   | 3d5.(4G).4p   | 5G*  | 3   |   5 - 7   |       |        |        L1171  |
       320.6294 |             36 |            |      |  109570.98  -   140750.86 | 3d5.(b 2D).4s | 1D   | 2   | 3d5.(a 2G).4p | 3F*  | 2   |   5 - 5   |       |        |        L1171  |
       320.6951 |             61 |            |      |   82411.15  -   113584.31 | 3d5.(a 2D).4s | 3D   | 2   | 3d5.(4G).4p   | 5G*  | 2   |   5 - 5   |       |        |        L1171  |
       321.218  |            58* |            |      |  109570.98  -   140693.38 | 3d5.(b 2D).4s | 1D   | 2   | 3d5.(a 2G).4p | 3F*  | 3   |   5 - 7   |       |        |        L1171  |
       321.218  |            58* |            |      |  182852.21  -   213974.60 | 3d5.(4G).4d   | 3I   | 7   | 3d5.(2I).5p   | 3H*  | 6   |  15 - 13  |       |        |        L1171  |
