-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |      Rel. |    Aki     | Acc. |      Ei           Ek      |             Lower level             |              Upper level               |  gi   gk  |Type|               TP  |       Line  |
     Wavelength     |      Int. |   (s^-1)   |      |    (cm-1)       (cm-1)    |-------------------------------------|----------------------------------------|           |    |              Ref. |       Ref.  |
      Air (nm)      |           |            |      |                           | Conf.                 | Term  | J   | Conf.                 | Term     | J   |           |    |                   |             |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Wavelength    |  Rel      |    Aki     | Acc  |              Ei - Ek      | L Conf                |L Term | L J | U Conf                |U Term    | U J |   gi - gk |Type|             TP    |    Line     |
         302.04905  |    107000 | 1.94e+07   | B    |    704.007  -   33801.572 | 3d6.4s2               | a 5D  | 2   | 3d7.(4F).4p           | y 5D*    | 2   |   5 - 5   |    |             T5720 |     L11631  |
         302.06388  |         r | 7.59e+07   | B    |      0.000  -   33095.941 | 3d6.4s2               | a 5D  | 4   | 3d7.(4F).4p           | y 5D*    | 4   |   9 - 9   |    |             T5720 |     L11631  |
         302.10725  |         r | 4.55e+07   | A    |    415.933  -   33507.123 | 3d6.4s2               | a 5D  | 3   | 3d7.(4F).4p           | y 5D*    | 3   |   7 - 7   |    |             T3547 |     L11631  |
         302.3426   |       0d? |            |      |  24335.766  -   57401.144 | 3d7.(2P).4s           | c 3P  | 2   | 3d6.4s.(6D).6p        | 5D*      | 1   |   5 - 3   |    |                   |  L11631c80  |
         302.40324  |    123000 | 4.87e+06   | A    |    888.132  -   33946.933 | 3d6.4s2               | a 5D  | 1   | 3d6.(5D).4s.4p.(3P*)  | z 3P*    | 2   |   3 - 5   |    |             T3547 |     L11631  |
         302.4793   |         3 |            |      |  23711.456  -   56761.878 | 3d6.(5D).4s.4p.(3P*)  | z 7P* | 4   | 3d6.4s.(6D).5d        | 5F       | 5   |   9 - 11  |    |                   |  L11631c80  |
         302.52798  |      1910 | 1.66e+05   | B    |   7376.764  -   40421.938 | 3d7.(4F).4s           | a 5F  | 4   | 3d5.(6S).4s2.4p       | y 7P*    | 4   |   9 - 9   |    |             T5720 |     L11631  |
         302.56362  |     20000 | 5.86e+07   | B+   |  19390.168  -   52431.447 | 3d6.4s2               | a 3H  | 6   | 3d7.(2H).4p           | w 3H*    | 6   |  13 - 13  |    |             T5720 |     L11631  |
         302.58422  |    120000 | 3.48e+07   | A    |    978.074  -   34017.103 | 3d6.4s2               | a 5D  | 0   | 3d7.(4F).4p           | y 5D*    | 1   |   1 - 3   |    |             T3547 |     L11631  |
         302.64617  |     15500 | 1.10e+07   | C    |   7985.785  -   41018.051 | 3d7.(4F).4s           | a 5F  | 2   | 3d6.(5D).4s.4p.(1P*)  | x 5F*    | 2   |   5 - 5   |    |             T5720 |     L11631  |
         302.7589   |      (0)? |            |      |  20641.110  -   53661.079 | 3d6.4s2               | b 3F2 | 4   | 3d7.(4F).5p           | 5F*      | 3   |   9 - 7   |    |                   |  L11631c81  |
         302.7700   |         0 |            |      |  19788.251  -   52807.001 | 3d6.4s2               | a 3H  | 4   | 3d7.(4F).5p           | 3G*      | 5   |   9 - 11  |    |                   |  L11631c80  |
         302.9074   |         1 |            |      |  24506.917  -   57510.666 | 3d6.(5D).4s.4p.(3P*)  | z 7P* | 2   | 3d7.(4F).6s           | 5F       | 3   |   5 - 7   |    |                   |  L11631c80  |
         302.92338  |      2190 | 6.98e+05   | B+   |  12560.934  -   45562.974 | 3d7.(4F).4s           | a 3F  | 3   | 3d6.(3H).4s.4p.(3P*)  | y 3G*    | 3   |   7 - 7   |    |             T5720 |     L11631  |
         303.01481  |     13800 | 5.04e+07   | B+   |  19621.006  -   52613.090 | 3d6.4s2               | a 3H  | 5   | 3d7.(2H).4p           | w 3H*    | 5   |  11 - 11  |    |             T5720 |     L11631  |
         303.06036  |     219bl |            |      |  18378.186  -   51365.311 | 3d6.4s2               | a 3P2 | 2   | 3d7.(2D2).4p          | v 3F*    | 3   |   5 - 7   |    |                   |     L11631  |
         303.0759   |       (0) |            |      |  24118.819  -   57104.217 | 3d6.4s2               | b 3G  | 4   | 3d6.(1I).4s.4p.(3P*)  | x 3I*    | 5   |   9 - 11  |    |                   |  L11631c81  |
         303.0958   |         0 |            |      |  18378.186  -   51361.391 | 3d6.4s2               | a 3P2 | 2   | 3d6.(5D).4s (6D).5p   | t 5D*    | 3   |   5 - 7   |    |                   |  L11631c80  |
         303.12123  |      1480 |            |      |  19788.251  -   52768.743 | 3d6.4s2               | a 3H  | 4   | 3d7.(2H).4p           | w 3H*    | 4   |   9 - 9   |    |                   |     L11631  |
         303.1330   |       (3) |            |      |  24180.862  -   57160.142 | 3d6.(5D).4s.4p.(3P*)  | z 7P* | 3   | 3d6.4s.(6D).5d        | 5P       | 3   |   7 - 7   |    |                   |  L11631c81  |
