-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed    |   Rel. |    Aki     | Acc. |      Ei           Ek       |              Lower level              |              Upper level               |  gi   gk  |Type|      TP  |  Line  |
   Wavelength   |   Int. |   (s^-1)   |      |    (cm-1)       (cm-1)     |---------------------------------------|----------------------------------------|           |    |     Ref. |  Ref.  |
    Air (nm)    |        |            |      |                            | Conf.                 | Term    | J   | Conf.                 | Term     | J   |           |    |          |        |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Wavelength    |  Rel   |    Aki     | Acc  |              Ei - Ek       | L Conf                |L Term   | L J | U Conf                |U Term    | U J |   gi - gk |Type|  TP      |   Line |
       307.0829 |    350 | 8.7e+06    | C    |  299189.96  -   331745.06  | 2s2.2p5.3p            | 1D      | 2   | 2s2.2p5.(2P*<3/2>).3d | 2[3/2]*  | 1   |   5 - 3   |    |    T6036 |  L914  |
       307.4334 |    550 | 1.4e+08    | E    |  299189.96  -   331707.90  | 2s2.2p5.3p            | 1D      | 2   | 2s2.2p5.(2P*<3/2>).3d | 2[5/2]*  | 3   |   5 - 7   |    | T6036c79 |  L914  |
       307.8318 | 550bl* | 1.17e+08   | A    |  265689.62  -   298165.44  | 2s2.2p5.3s            | 3P*     | 1   | 2s2.2p5.3p            | 3D       | 1   |   3 - 3   |    |    T7663 |  L914  |
       307.8318 | 550bl* | 3.6e+05    | E    |  299189.96  -   331665.59  | 2s2.2p5.3p            | 1D      | 2   | 2s2.2p5.(2P*<3/2>).3d | 2[5/2]*  | 2   |   5 - 5   |    | T6036c79 |  L914  |
       307.8752 |    170 | 3.59e+06   | D+   |  298165.44  -   330636.75  | 2s2.2p5.3p            | 3D      | 1   | 2s2.2p5.(2P*<3/2>).3d | 2[1/2]*  | 1   |   3 - 3   |    |    T6036 |  L914  |
       308.0254 |    550 | 2.81e+08   | B+   |  300507.11  -   332962.57  | 2s2.2p5.3p            | 3P      | 1   | 2s2.2p5.(2P*<1/2>).3d | 2[3/2]*  | 2   |   3 - 5   |    |    T6036 |  L914  |
       308.293  |     30 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       308.357  |     25 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       308.557  |     35 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       308.7060 |    450 | 1.66e+07   | C    |  298165.44  -   330549.35  | 2s2.2p5.3p            | 3D      | 1   | 2s2.2p5.(2P*<3/2>).3d | 2[1/2]*  | 0   |   3 - 1   |    |    T6036 |  L914  |
       308.8263 |    450 |            |      |  332802.21  -   365173.42  | 2s2.2p5.(2P*<1/2>).3d | 2[5/2]* | 2   | 2s2.2p5.(2P*<1/2>).5f | 2[7/2]   | 3   |   5 - 7   |    |          |  L914  |
       308.999  |    130 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       309.2035 |    550 |            |      |  332841.93  -   365173.7   | 2s2.2p5.(2P*<1/2>).3d | 2[5/2]* | 3   | 2s2.2p5.(2P*<1/2>).5f | 2[7/2]   | 4   |   7 - 9   |    |          |  L914  |
       309.2732 |    550 | 2.09e+08   | A    |  264924.32  -   297248.82  | 2s2.2p5.3s            | 3P*     | 2   | 2s2.2p5.3p            | 3D       | 3   |   5 - 7   |    |    T7663 |  L914  |
       309.3089 |    400 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       309.4449 |    650 | 1.1e+06    | E    |  299189.96  -   331496.51  | 2s2.2p5.3p            | 1D      | 2   | 2s2.2p5.(2P*<3/2>).4s | 2[3/2]*  | 2   |   5 - 5   |    | T7663c78 |  L914  |
       309.467  |    200 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       309.5552 |    650 | 3.97e+05   | D+   |  300507.11  -   332802.21  | 2s2.2p5.3p            | 3P      | 1   | 2s2.2p5.(2P*<1/2>).3d | 2[5/2]*  | 2   |   3 - 5   |    |    T7663 |  L914  |
       309.648  |     70 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       309.671  |     70 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       309.773  |     60 |            |      |  331496.51  -   363769.03  | 2s2.2p5.(2P*<3/2>).4s | 2[3/2]* | 2   | 2s2.2p5.(2P*<3/2>).5f | 2[3/2]   | 2   |   5 - 5   |    |          |  L914  |
       309.902  |     60 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       309.980  |     45 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       310.277  |     40 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       310.3578 |    500 |            |      |  332962.57  -   365174.10  | 2s2.2p5.(2P*<1/2>).3d | 2[3/2]* | 2   | 2s2.2p5.(2P*<1/2>).5f | 2[5/2]   | 3   |   5 - 7   |    |          |  L914  |
       310.4403 |    500 | 5.63e+07   | C+   |  300507.11  -   332710.11  | 2s2.2p5.3p            | 3P      | 1   | 2s2.2p5.(2P*<1/2>).4s | 2[1/2]*  | 0   |   3 - 1   |    |    T7663 |  L914  |
       310.7370 |    350 |            |      |  331665.59  -   363837.82  | 2s2.2p5.(2P*<3/2>).3d | 2[5/2]* | 2   | 2s2.2p5.(2P*<3/2>).5f | 2[7/2]   | 3   |   5 - 7   |    |          |  L914  |
       310.9538 |    300 |            |      |  331665.59  -   363815.38  | 2s2.2p5.(2P*<3/2>).3d | 2[5/2]* | 2   | 2s2.2p5.(2P*<3/2>).5f | 2[5/2]   | 2   |   5 - 5   |    |          |  L914  |
       311.023  |    130 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
