-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |             Rel. |    Aki     | Acc. |        Ei           Ek        |             Lower level              |              Upper level              |  gi   gk  |Type|            TP  |           Line  |
     Wavelength     |             Int. |   (s^-1)   |      |      (cm-1)       (cm-1)      |--------------------------------------|---------------------------------------|           |    |           Ref. |           Ref.  |
      Air (nm)      |                  |            |      |                               | Conf.                 | Term  | J    | Conf.                 | Term   | J    |           |    |                |                 |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Wavelength    |  Rel             |    Aki     | Acc  |              Ei - Ek          | L Conf                |L Term | L J  | U Conf                |U Term  | U J  |   gi - gk |Type|    	  TP    |        Line     |
         302.1622   |            120d? | 9.e+05     | D    |   70523.694   -   103608.921  | 3d6.(3G).4p           | x 2G* | 7/2  | 3d6.(3G).5s           | e 2G   | 9/2  |   8 - 10  |    |       T6892c83 |     L18349c143  |
         302.1894   |          280d,bl |            |      |   73395.831   -   106478.067  | 3d5.4s2               | 4F    | 5/2  | 3d5.(4F).4s.4p.(3P*)  | 6F*    | 7/2  |   6 - 8   |    |                |     L18349c143  |
         302.2269   |            100d? |            |      |   70986.667   -   104064.664  | 3d6.(1I).4p           | z 2K* | 13/2 | 3d6.(3H).4d           | 4I     | 13/2 |  14 - 14  |    |                |     L18349c142  |
         302.2660   |            120d? | 1.4e+06    | D    |   70523.694   -   103597.409  | 3d6.(3G).4p           | x 2G* | 7/2  | 3d6.(3P2).4d          | 2F     | 5/2  |   8 - 6   |    |       T6892c83 |     L18349c143  |
         302.3231   |             70d? |            |      |   78577.263   -   111644.798  | 3d5.4s2               | 2G2   | 9/2  | 3d5.(2H).4s.4p.(3P*)  | 4I*    | 9/2  |  10 - 10  |    |                |     L18349c142  |
         302.3380   |               80 |            |      |   79331.361   -   112397.186  | 3d5.(6S).4s.4p.(1P*)  | x 6P* | 7/2  | 3d6.(5D).7s           | 6D     | 9/2  |   8 - 10  |    |                |     L18349c143  |
         302.3721   |            110d? |            |      |   72352.046   -   105414.186  | 3d6.(3D).4p           | w 4F* | 7/2  | 3d6.(3F2).4d          | 4G     | 5/2  |   8 - 6   |    |                |     L18349c143  |
         302.3831   |            700d? |            |      |   31364.4554  -    64425.405  | 3d6.(3D).4s           | b 4D  | 3/2  | 3d6.(3F2).4p          | z 2F*  | 5/2  |   4 - 6   |    |                |     L18349c143  |
         302.4380   |              110 |            |      |   78525.442   -   111580.386  | 3d6.(5D).5s           | e 6D  | 5/2  | 3d6.(3F2).5p          | 2F*    | 7/2  |   6 - 8   |    |                |     L18349c142  |
         302.4712   |            190d? |            |      |   57578.490   -    90629.811  | 3d5.4s2               | d 4P  | 1/2  | 3d6.(3P1).4p          | 4S*    | 3/2  |   2 - 4   |    |                |     L18349c142  |
         302.4846   |              110 |            |      |   72238.564   -   105288.559  | 3d6.(3D).4p           | w 4F* | 5/2  | 3d6.(5D).5d           | 6G     | 3/2  |   6 - 4   |    |                |     L18349c143  |
         302.4995   |            110d? | 6.2e+06    | D+   |   72429.675   -   105477.924  | 3d6.(3D).4p           | w 4D* | 1/2  | 3d6.(3F2).4d          | 4D     | 1/2  |   2 - 2   |    |       T6892c83 |     L18349c143  |
         302.5468   |            110d? | 3.5e+06    | D    |   72043.060   -   105086.265  | 3d6.(3D).4p           | w 4P* | 3/2  | 3d6.(3F2).4d          | 4P     | 1/2  |   4 - 2   |    |       T6892c83 |     L18349c143  |
         302.6608   |              110 |            |      |   72429.675   -   105460.233  | 3d6.(3D).4p           | w 4D* | 1/2  | 3d6.(3F2).4d          | 4D     | 3/2  |   2 - 4   |    |                |     L18349c143  |
         302.674538 |             4000 | 3.4e+05    | D    |   71964.750   -   104993.879  | 3d6.(3D).4p           | w 4P* | 5/2  | 3d6.(3F2).4d          | 4D     | 7/2  |   6 - 8   |    |       T6892c83 |     L18349c145  |
         302.6936   |              110 |            |      |   72261.742   -   105288.874  | 3d6.(1G2).4p          | x 2H* | 11/2 | 3d6.(3F2).4d          | 4H     | 13/2 |  12 - 14  |    |                |     L18349c143  |
         302.7201   |             90d? | 2.7e+06    | D+   |   76577.436   -   109601.572  | 3d6.(1S2).4p          | x 2P* | 1/2  | 3d6.(3D).5s           | 2D     | 3/2  |   2 - 4   |    |       T6892c83 |     L18349c143  |
         302.7381   |            240d? |            |      |   31811.814   -    64834.069  | 3d7                   | b 2F  | 5/2  | 3d6.(3P2).4p          | z 2P*  | 3/2  |   6 - 4   |    |                |     L18349c142  |
         302.7482   |            230d? |            |      |   33501.2957  -    66522.310  | 3d6.(1G2).4s          | c 2G  | 7/2  | 3d6.(3G).4p           | x 4F*  | 5/2  |   8 - 6   |    |                |     L18349c142  |
         302.7858   |             60d? |            |      |   80346.060   -   113363.028  | 3d6.(5D).5s           | e 4D  | 1/2  | 3d6.(5D<3>).5f        | 2[2]*  | 3/2  |   2 - 4   |    |                |     L18349c142  |
         302.7949   |              150 |            |      |   66672.336   -    99688.355  | 3d6.(3G).4p           | y 4H* | 7/2  | 3d6.(3F2).5s          | f 4F   | 7/2  |   8 - 8   |    |                |     L18349c143  |
         302.9399   |            110d? |            |      |   72238.564   -   105238.815  | 3d6.(3D).4p           | w 4F* | 5/2  | 3d6.(3P2).4d          | 2D     | 5/2  |   6 - 6   |    |                |     L18349c143  |
