-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |  Rel. |    Aki     | Acc. |         Ei           Ek         |            Lower level             |         Upper level          |  gi   gk  |Type|               TP  |    Line  |
     Wavelength     |  Int. |   (s^-1)   |      |       (cm-1)       (cm-1)       |------------------------------------|------------------------------|           |    |              Ref. |    Ref.  |
      Air (nm)      |       |            |      |                                 | Conf.                 | Term | J   | Conf.           | Term | J   |           |    |                   |          |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Wavelength    |  Rel  |    Aki     | Acc  |              Ei - Ek            | L Conf                |L Term| L J | U Conf          |U Term| U J |   gi - gk |Type|             TP    |   Line   |
         414.598    |       |            |      |   16956.17025  -   [41069.080]  | 2p6.3p                | 2P*  | 1/2 | 2p6.17d         | 2D   | 3/2 |   2 - 4   |    |                   |   L9493  |
         414.62     |       |            |      |  268897.4      -   293010.3     | 2p5.(2P*).3s.3p.(3P*) | 4P   | 3/2 | 2p5.3s.(3P*).3d | 4D*  | 3/2 |   4 - 4   |    |                   |  L10065  |
         414.861    |       |            |      |   16956.17025  -   [41053.701]  | 2p6.3p                | 2P*  | 1/2 | 2p6.18s         | 2S   | 1/2 |   2 - 2   |    |                   |   L9493  |
         414.893    |       | 1.42e+04   | B    |   16973.36619  -   [41069.080]  | 2p6.3p                | 2P*  | 3/2 | 2p6.17d         | 2D   | 3/2 |   4 - 4   |    |             T7799 |   L9493  |
         414.893    |       | 8.52e+04   | B    |   16973.36619  -   [41069.079]  | 2p6.3p                | 2P*  | 3/2 | 2p6.17d         | 2D   | 5/2 |   4 - 6   |    |             T7799 |   L9493  |
         415.175    |       | 4.78e+04   | B    |   16973.36619  -   [41053.701]  | 2p6.3p                | 2P*  | 3/2 | 2p6.18s         | 2S   | 1/2 |   4 - 2   |    |             T7799 |   L9493  |
         415.444    |       |            |      |   16956.17025  -   [41020.001]  | 2p6.3p                | 2P*  | 1/2 | 2p6.16d         | 2D   | 3/2 |   2 - 4   |    |                   |   L9493  |
         415.70     |       |            |      |  269086.5      -   293133.1     | 2p5.(2P*).3s.3p.(3P*) | 4P   | 1/2 | 2p5.3s.(3P*).3d | 4D*  | 1/2 |   2 - 2   |    |                   |  L10065  |
         415.740    |       | 1.71e+04   | B    |   16973.36619  -   [41020.001]  | 2p6.3p                | 2P*  | 3/2 | 2p6.16d         | 2D   | 3/2 |   4 - 4   |    |             T7799 |   L9493  |
         415.740    |       | 1.03e+05   | B    |   16973.36619  -   [41020.000]  | 2p6.3p                | 2P*  | 3/2 | 2p6.16d         | 2D   | 5/2 |   4 - 6   |    |             T7799 |   L9493  |
         415.760    |       |            |      |   16956.17025  -   [41001.515]  | 2p6.3p                | 2P*  | 1/2 | 2p6.17s         | 2S   | 1/2 |   2 - 2   |    |                   |   L9493  |
         416.057    |       | 5.76e+04   | B    |   16973.36619  -   [41001.515]  | 2p6.3p                | 2P*  | 3/2 | 2p6.17s         | 2S   | 1/2 |   4 - 2   |    |             T7799 |   L9493  |
         416.470    |       |            |      |   16956.17025  -   [40960.771]  | 2p6.3p                | 2P*  | 1/2 | 2p6.15d         | 2D   | 3/2 |   2 - 4   |    |                   |   L9493  |
         416.767    |       | 2.09e+04   | B    |   16973.36619  -   [40960.771]  | 2p6.3p                | 2P*  | 3/2 | 2p6.15d         | 2D   | 3/2 |   4 - 4   |    |             T7799 |   L9493  |
         416.767    |       | 1.25e+05   | B    |   16973.36619  -   [40960.771]  | 2p6.3p                | 2P*  | 3/2 | 2p6.15d         | 2D   | 5/2 |   4 - 6   |    |             T7799 |   L9493  |
         416.858    |       |            |      |   16956.17025  -   [40938.281]  | 2p6.3p                | 2P*  | 1/2 | 2p6.16s         | 2S   | 1/2 |   2 - 2   |    |                   |   L9493  |
         417.156    |       | 7.03e+04   | B    |   16973.36619  -   [40938.281]  | 2p6.3p                | 2P*  | 3/2 | 2p6.16s         | 2S   | 1/2 |   4 - 2   |    |             T7799 |   L9493  |
         417.67     |    82 | 3.5e+07    | D    |  268513.9      -   292449.7     | 2p5.(2P*).3s.3p.(3P*) | 4P   | 5/2 | 2p5.3s.(3P*).3d | 4F*  | 7/2 |   6 - 8   |    |             T5209 |   L6269  |
         417.723    |       |            |      |   16956.17025  -   [40888.387]  | 2p6.3p                | 2P*  | 1/2 | 2p6.14d         | 2D   | 3/2 |   2 - 4   |    |                   |   L9493  |
         418.022    |       | 2.58e+04   | B    |   16973.36619  -   [40888.387]  | 2p6.3p                | 2P*  | 3/2 | 2p6.14d         | 2D   | 3/2 |   4 - 4   |    |             T7799 |   L9493  |
         418.022    |       | 1.55e+05   | B    |   16973.36619  -   [40888.386]  | 2p6.3p                | 2P*  | 3/2 | 2p6.14d         | 2D   | 5/2 |   4 - 6   |    |             T7799 |   L9493  |
         418.209    |       |            |      |   16956.17025  -   [40860.648]  | 2p6.3p                | 2P*  | 1/2 | 2p6.15s         | 2S   | 1/2 |   2 - 2   |    |                   |   L9493  |
         418.509    |       | 8.70e+04   | B    |   16973.36619  -   [40860.648]  | 2p6.3p                | 2P*  | 3/2 | 2p6.15s         | 2S   | 1/2 |   4 - 2   |    |             T7799 |   L9493  |
         418.55     |   150 | 4.9e+07    | D    |  268513.9      -   292399.4     | 2p5.(2P*).3s.3p.(3P*) | 4P   | 5/2 | 2p5.3s.(3P*).3d | 4D*  | 5/2 |   6 - 6   |    |             T5209 |   L6269  |
         419.297    |       |            |      |   16956.17025  -   [40798.644]  | 2p6.3p                | 2P*  | 1/2 | 2p6.13d         | 2D   | 3/2 |   2 - 4   |    |                   |   L9493  |
         419.598    |       | 3.27e+04   | B    |   16973.36619  -   [40798.644]  | 2p6.3p                | 2P*  | 3/2 | 2p6.13d         | 2D   | 3/2 |   4 - 4   |    |             T7799 |   L9493  |
         419.598    |       | 1.96e+05   | B    |   16973.36619  -   [40798.642]  | 2p6.3p                | 2P*  | 3/2 | 2p6.13d         | 2D   | 5/2 |   4 - 6   |    |             T7799 |   L9493  |
         419.914    |       |            |      |   16956.17025  -   [40763.884]  | 2p6.3p                | 2P*  | 1/2 | 2p6.14s         | 2S   | 1/2 |   2 - 2   |    |                   |   L9493  |
         420.216    |       | 1.09e+05   | B    |   16973.36619  -   [40763.884]  | 2p6.3p                | 2P*  | 3/2 | 2p6.14s         | 2S   | 1/2 |   4 - 2   |    |             T7799 |   L9493  |
         420.49     |    46 | 2.5e+07    | D    |  268513.9      -   292289.2     | 2p5.(2P*).3s.3p.(3P*) | 4P   | 5/2 | 2p5.3s.(3P*).3d | 4P*  | 3/2 |   6 - 4   |    |             T5209 |   L6269  |
         421.309    |       |            |      |   16956.17025  -   [40685.509]  | 2p6.3p                | 2P*  | 1/2 | 2p6.12d         | 2D   | 3/2 |   2 - 4   |    |                   |   L9493  |
         421.613    |       | 4.20e+04   | B    |   16973.36619  -   [40685.509]  | 2p6.3p                | 2P*  | 3/2 | 2p6.12d         | 2D   | 3/2 |   4 - 4   |    |             T7799 |   L9493  |
         421.613    |       | 2.52e+05   | B    |   16973.36619  -   [40685.509]  | 2p6.3p                | 2P*  | 3/2 | 2p6.12d         | 2D   | 5/2 |   4 - 6   |    |             T7799 |   L9493  |
         422.076    |       |            |      |   16956.17025  -   [40641.148]  | 2p6.3p                | 2P*  | 1/2 | 2p6.13s         | 2S   | 1/2 |   2 - 2   |    |                   |   L9493  |
         422.381    |       | 1.40e+05   | B    |   16973.36619  -   [40641.148]  | 2p6.3p                | 2P*  | 3/2 | 2p6.13s         | 2S   | 1/2 |   4 - 2   |    |             T7799 |   L9493  |
         423.8987   |     2 |            |      |   16956.17025  -   [40540.095]  | 2p6.3p                | 2P*  | 1/2 | 2p6.11d         | 2D   | 3/2 |   2 - 4   |    |                   |   L6096  |
         424.2082   |    3* | 5.54e+04   | B    |   16973.36619  -   [40540.095]  | 2p6.3p                | 2P*  | 3/2 | 2p6.11d         | 2D   | 3/2 |   4 - 4   |    |             T7799 |   L6096  |
         424.2082   |    3* | 3.32e+05   | B    |   16973.36619  -   [40540.093]  | 2p6.3p                | 2P*  | 3/2 | 2p6.11d         | 2D   | 5/2 |   4 - 6   |    |             T7799 |   L6096  |
         424.9410   |     1 |            |      |   16956.17025  -    40482.236   | 2p6.3p                | 2P*  | 1/2 | 2p6.12s         | 2S   | 1/2 |   2 - 2   |    |                   |   L6096  |
         425.2520   |     2 | 1.84e+05   | B    |   16973.36619  -    40482.236   | 2p6.3p                | 2P*  | 3/2 | 2p6.12s         | 2S   | 1/2 |   4 - 2   |    |             T7799 |   L6096  |
         425.38     |    17 | 5.e+06     | D    |  268897.4      -   292399.4     | 2p5.(2P*).3s.3p.(3P*) | 4P   | 3/2 | 2p5.3s.(3P*).3d | 4D*  | 5/2 |   4 - 6   |    |             T5209 |   L6269  |
         427.3642   |     4 | 3.91e+05   | C    |   16956.17025  -    40348.918   | 2p6.3p                | 2P*  | 1/2 | 2p6.10d         | 2D   | 3/2 |   2 - 4   |    |            c58,LS |   L6096  |
         427.39     |    23 | 1.6e+07    | D    |  268897.4      -   292289.2     | 2p5.(2P*).3s.3p.(3P*) | 4P   | 3/2 | 2p5.3s.(3P*).3d | 4P*  | 3/2 |   4 - 4   |    |             T5209 |   L6269  |
         427.6787   |    5* | 7.8e+04    | C    |   16973.36619  -    40348.918   | 2p6.3p                | 2P*  | 3/2 | 2p6.10d         | 2D   | 3/2 |   4 - 4   |    |            c58,LS |   L6096  |
         427.6787   |    5* | 4.69e+05   | C    |   16973.36619  -    40348.915   | 2p6.3p                | 2P*  | 3/2 | 2p6.10d         | 2D   | 5/2 |   4 - 6   |    |            c58,LS |   L6096  |
         428.67     |    46 | 2.8e+07    | D    |  268897.4      -   292219.6     | 2p5.(2P*).3s.3p.(3P*) | 4P   | 3/2 | 2p5.3s.(3P*).3d | 4P*  | 1/2 |   4 - 2   |    |             T5209 |   L6269  |
         428.7838   |     2 |            |      |   16956.17025  -    40271.396   | 2p6.3p                | 2P*  | 1/2 | 2p6.11s         | 2S   | 1/2 |   2 - 2   |    |                   |   L6096  |
         429.1006   |     3 | 2.47e+05   | B    |   16973.36619  -    40271.396   | 2p6.3p                | 2P*  | 3/2 | 2p6.11s         | 2S   | 1/2 |   4 - 2   |    |             T7799 |   L6096  |
         432.1400   |     6 |            |      |   16956.17025  -    40090.31    | 2p6.3p                | 2P*  | 1/2 | 2p6.9d          | 2D   | 3/2 |   2 - 4   |    |                   |   L6096  |
         432.4615   |    7* | 1.14e+05   | B    |   16973.36619  -    40090.31    | 2p6.3p                | 2P*  | 3/2 | 2p6.9d          | 2D   | 3/2 |   4 - 4   |    |             T7799 |   L6096  |
         432.4615   |    7* | 6.84e+05   | B    |   16973.36619  -    40090.31    | 2p6.3p                | 2P*  | 3/2 | 2p6.9d          | 2D   | 5/2 |   4 - 6   |    |             T7799 |   L6096  |
         432.63     |       |            |      |  263745.3      -   286849.5     | 2p5.(2P*).3s.3p.(3P*) | 4S   | 3/2 | 2p5.3s.(3P*).4s | 4P*  | 3/2 |   4 - 4   |    |                   |  L10065  |
         434.1489   |     4 | 3.26e+05   | C+   |   16956.17025  -    39983.27    | 2p6.3p                | 2P*  | 1/2 | 2p6.10s         | 2S   | 1/2 |   2 - 2   |    |               c30 |   L6096  |
         434.4736   |     5 | 6.50e+05   | C+   |   16973.36619  -    39983.27    | 2p6.3p                | 2P*  | 3/2 | 2p6.10s         | 2S   | 1/2 |   4 - 2   |    |               c30 |   L6096  |
         439.0029   |     8 | 9.83e+05   | B+   |   16956.17025  -    39728.70    | 2p6.3p                | 2P*  | 1/2 | 2p6.8d          | 2D   | 3/2 |   2 - 4   |    |               c30 |   L6096  |
         439.3340   |    9* | 1.17e+06   | B+   |   16973.36619  -    39728.70    | 2p6.3p                | 2P*  | 3/2 | 2p6.8d          | 2D   | 5/2 |   4 - 6   |    |               c30 |   L6096  |
         439.3340   |    9* | 1.95e+05   | B    |   16973.36619  -    39728.70    | 2p6.3p                | 2P*  | 3/2 | 2p6.8d          | 2D   | 3/2 |   4 - 4   |    |               c30 |   L6096  |
         441.9885   |     6 | 2.82e+05   | C+   |   16956.17025  -    39574.85    | 2p6.3p                | 2P*  | 1/2 | 2p6.9s          | 2S   | 1/2 |   2 - 2   |    |               c30 |   L6096  |
         442.3246   |     7 | 5.61e+05   | C+   |   16973.36619  -    39574.85    | 2p6.3p                | 2P*  | 3/2 | 2p6.9s          | 2S   | 1/2 |   4 - 2   |    |               c30 |   L6096  |
         443.23     |   310 | 1.4e+07    | D    |  263745.3      -   286300.4     | 2p5.(2P*).3s.3p.(3P*) | 4S   | 3/2 | 2p5.3s.(3P*).4s | 4P*  | 5/2 |   4 - 6   |    |             T5209 |   L6269  |
         449.4177   |    10 | 1.23e+06   | B+   |   16956.17025  -    39200.93    | 2p6.3p                | 2P*  | 1/2 | 2p6.7d          | 2D   | 3/2 |   2 - 4   |    |               c30 |   L6096  |
