------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Observed     |  Rel. |    Aki     | Acc. |        Ei           Ek        |           Lower level            |            Upper level            |  gi   gk  |Type|         TP  |          Line  |
    Wavelength    |  Int. |   (s^-1)   |      |      (cm-1)       (cm-1)      |----------------------------------|-----------------------------------|           |    |        Ref. |          Ref.  |
     Air (nm)     |       |            |      |                               | Conf.             | Term  | J    | Conf.              | Term  | J    |           |    |             |                |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Wavelength    |  Rel  |    Aki     | Acc  |              Ei - Ek          | L Conf            |L Term | L J  | U Conf             |U Term | U J  |   gi - gk |Type|       TP    |       Line     |
        319.3061  |     3 |            |      |  234454.634   -   265763.36   | 2s2.2p2.(3P).3d   | 2D    | 5/2  | 2s2.2p2.(3P).5f G  | 2[4]* | 7/2  |   6 - 8   |    |             |        L10621  |
        319.7646  |    1w |            |      |  234454.634   -   265718.48   | 2s2.2p2.(3P).3d   | 2D    | 5/2  | 2s2.2p2.(3P).5f G  | 2[3]* | 5/2  |   6 - 6   |    |             |        L10621  |
        320.0688  |     3 |            |      |  234402.797   -   265637.10   | 2s2.2p2.(3P).3d   | 2D    | 3/2  | 2s2.2p2.(3P).5f D  | 2[3]* | 5/2  |   4 - 6   |    |             |        L10621  |
        321.5877  |    10 |            |      |  267768.20+x  -   298855.04+x | 2s.2p3.(5S*).3p   | 6P    | 3/2  | 2s.2p3.(5S*).4s    | 6S*   | 5/2  |   4 - 6   |    |             |        L10621  |
        321.6618  |    11 |            |      |  267775.48+x  -   298855.04+x | 2s.2p3.(5S*).3p   | 6P    | 5/2  | 2s.2p3.(5S*).4s    | 6S*   | 5/2  |   6 - 6   |    |             |        L10621  |
        321.7915  |    12 |            |      |  267788.09+x  -   298855.04+x | 2s.2p3.(5S*).3p   | 6P    | 7/2  | 2s.2p3.(5S*).4s    | 6S*   | 5/2  |   8 - 6   |    |             |        L10621  |
        327.0855  |    16 | 1.05e+08   | C    |  228723.84    -   259288.07   | 2s2.2p2.(1D).3p   | 2F*   | 5/2  | 2s2.2p2.(1D).4s    | 2D    | 3/2  |   6 - 4   |    |     T5723LS |        L10621  |
        327.3437  |    17 | 9.99e+07   | C    |  228747.45    -   259287.61   | 2s2.2p2.(1D).3p   | 2F*   | 7/2  | 2s2.2p2.(1D).4s    | 2D    | 5/2  |   8 - 6   |    |     T5723LS |        L10621  |
        327.5622  |     1 |            |      |  231350.087   -   261869.94   | 2s2.2p2.(3P).3d   | 4F    | 5/2  | 2s2.2p2.(3P).5p    | 2D*   | 5/2  |   6 - 6   |    |             |        L10621  |
        327.7566  |    17 | 2.02e+07   | B    |  208392.258   -   238893.96   | 2s2.2p2.(3P).3p   | 4P*   | 3/2  | 2s2.2p2.(3P).4s    | 4P    | 5/2  |   4 - 6   |    |       T6632 |        L10621  |
        328.5016  |    3w |            |      |  255622.80    -   286055.28?  | 2s2.2p2.(1D).3d   | 2S    | 1/2  | 2s2.2p2.(1D).5f P  | 2[1]* | 3/2  |   2 - 4   |    |             |        L10621  |
        328.7472  |    21 | 4.92e+07   | B    |  208484.202   -   238893.96   | 2s2.2p2.(3P).3p   | 4P*   | 5/2  | 2s2.2p2.(3P).4s    | 4P    | 5/2  |   6 - 6   |    |       T6632 |        L10621  |
        328.9981  |    17 |            |      |  208346.104   -   238732.65   | 2s2.2p2.(3P).3p   | 4P*   | 1/2  | 2s2.2p2.(3P).4s    | 4P    | 3/2  |   2 - 4   |    |             |        L10621  |
        329.4992  |    14 | 1.00e+07   | B    |  208392.258   -   238732.65   | 2s2.2p2.(3P).3p   | 4P*   | 3/2  | 2s2.2p2.(3P).4s    | 4P    | 3/2  |   4 - 4   |    |       T6632 |        L10621  |
        330.1407  |    10 | 1.06e+07   | B    |  208346.104   -   238627.46   | 2s2.2p2.(3P).3p   | 4P*   | 1/2  | 2s2.2p2.(3P).4s    | 4P    | 1/2  |   2 - 2   |    |       T6632 |        L10621  |
        330.5005  |    17 | 2.89e+07   | B    |  208484.202   -   238732.65   | 2s2.2p2.(3P).3p   | 4P*   | 5/2  | 2s2.2p2.(3P).4s    | 4P    | 3/2  |   6 - 4   |    |       T6632 |        L10621  |
        330.6449  |    17 | 5.55e+07   | B    |  208392.258   -   238627.46   | 2s2.2p2.(3P).3p   | 4P*   | 3/2  | 2s2.2p2.(3P).4s    | 4P    | 1/2  |   4 - 2   |    |       T6632 |        L10621  |
        336.0105  |     3 |            |      |  231427.970   -   261180.59   | 2s2.2p2.(3P).3d   | 4F    | 7/2  | 2s2.2p2.(3P).5p    | 4D*   | 7/2  |   8 - 8   |    |             |        L10621  |
