------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed    |  Rel. |    Aki     | Acc. |      Ei           Ek      |     Lower level     |      Upper level      |  gi   gk  |Type|           TP  |   Line  |
   Wavelength   |  Int. |   (s^-1)   |      |    (cm-1)       (cm-1)    |---------------------|-----------------------|           |    |          Ref. |   Ref.  |
    Air (nm)    |       |            |      |                           | Conf.  | Term | J   | Conf.   | Term | J    |           |    |               |         |
------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Wavelength    |  Rel  |    Aki     | Acc  |              Ei - Ek      | L Conf |L Term| L J | U Conf  |U Term| U J  |   gi - gk |Type|  TP           |   Line  |
       506.8937 |     4 | 3.97e+05   | B    |   93310.59  -   113033.09 | 2p6.4d | 2D   | 5/2 | 2p6.8p  | 2P*  | 3/2  |   6 - 4   |    |           c31 |  L7414  |
       506.9802 |     3 | 4.35e+05   | B    |   93311.11  -   113030.25 | 2p6.4d | 2D   | 3/2 | 2p6.8p  | 2P*  | 1/2  |   4 - 2   |    |           c31 |  L7414  |
       526.4215 |     8 | 1.27e+07   | B+   |   93310.59  -   112301.47 | 2p6.4d | 2D   | 5/2 | 2p6.7f  | 2F*  | 7/2  |   6 - 8   |    |           c31 |  L7414  |
       526.4368 |     7 | 1.19e+07   | B+   |   93311.11  -   112301.47 | 2p6.4d | 2D   | 3/2 | 2p6.7f  | 2F*  | 5/2  |   4 - 6   |    |           c31 |  L7414  |
       540.1543 |    9* |            |      |   93799.63  -   112307.79 | 2p6.4f | 2F*  | 5/2 | 2p6.7g  | 2G   | 7/2  |   6 - 8   |    |               |  L7414  |
       540.1543 |    9* |            |      |   93799.75  -   112307.79 | 2p6.4f | 2F*  | 7/2 | 2p6.7g  | 2G   | 9/2  |   8 - 10  |    |               |  L7414  |
       543.4039 |    4* | 2.45e+05   | B    |   93799.63  -   112197.17 | 2p6.4f | 2F*  | 5/2 | 2p6.7d  | 2D   | 3/2  |   6 - 4   |    |           c31 |  L7414  |
       543.4039 |    4* | 2.33e+05   | B    |   93799.75  -   112197.05 | 2p6.4f | 2F*  | 7/2 | 2p6.7d  | 2D   | 5/2  |   8 - 6   |    |           c31 |  L7414  |
       545.1259 |     1 | 1.03e+06   | B    |   97455.12  -   115794.44 | 2p6.5p | 2P*  | 1/2 | 2p6.9d  | 2D   | 3/2  |   2 - 4   |    |           c31 |  L7414  |
       546.0019 |     1 | 1.11e+06   | B+   |   97455.12  -   115764.99 | 2p6.5p | 2P*  | 1/2 | 2p6.10s | 2S   | 1/2  |   2 - 2   |    |           c31 |  L7414  |
       546.4136 |     2 | 2.22e+06   | B+   |   97468.92  -   115764.99 | 2p6.5p | 2P*  | 3/2 | 2p6.10s | 2S   | 1/2  |   4 - 2   |    |           c31 |  L7414  |
       591.6429 |     7 | 6.42e+05   | B    |   93310.59  -   110207.99 | 2p6.4d | 2D   | 5/2 | 2p6.7p  | 2P*  | 3/2  |   6 - 4   |    |           c31 |  L7414  |
       591.8158 |     6 | 7.04e+05   | B    |   93311.11  -   110203.58 | 2p6.4d | 2D   | 3/2 | 2p6.7p  | 2P*  | 1/2  |   4 - 2   |    |           c31 |  L7414  |
       592.3366 |     3 | 1.40e+06   | B+   |   97455.12  -   114332.74 | 2p6.5p | 2P*  | 1/2 | 2p6.8d  | 2D   | 3/2  |   2 - 4   |    |           c31 |  L7414  |
       592.8233 |     4 | 1.66e+06   | B+   |   97468.92  -   114332.68 | 2p6.5p | 2P*  | 3/2 | 2p6.8d  | 2D   | 5/2  |   4 - 6   |    |           c31 |  L7414  |
       593.8629 |     3 | 1.36e+06   | B    |   97455.12  -   114289.36 | 2p6.5p | 2P*  | 1/2 | 2p6.9s  | 2S   | 1/2  |   2 - 2   |    |           c31 |  L7414  |
       594.3499 |     4 | 2.71e+06   | B+   |   97468.92  -   114289.36 | 2p6.5p | 2P*  | 3/2 | 2p6.9s  | 2S   | 1/2  |   4 - 2   |    |           c31 |  L7414  |
       634.6737 |    10 | 2.20e+07   | A    |   93310.59  -   109062.35 | 2p6.4d | 2D   | 5/2 | 2p6.6f  | 2F*  | 7/2  |   6 - 8   |    |           c31 |  L7414  |
       634.6962 |     9 | 2.05e+07   | A    |   93311.11  -   109062.32 | 2p6.4d | 2D   | 3/2 | 2p6.6f  | 2F*  | 5/2  |   4 - 6   |    |           c31 |  L7414  |
       654.5973 |   11* |            |      |   93799.63  -   109072.05 | 2p6.4f | 2F*  | 5/2 | 2p6.6g  | 2G   | 7/2  |   6 - 8   |    |               |  L7414  |
       654.5973 |   11* |            |      |   93799.75  -   109072.05 | 2p6.4f | 2F*  | 7/2 | 2p6.6g  | 2G   | 9/2  |   8 - 10  |    |               |  L7414  |
       662.0440 |     5 | 4.61e+05   | B+   |   93799.63  -   108900.20 | 2p6.4f | 2F*  | 5/2 | 2p6.6d  | 2D   | 3/2  |   6 - 4   |    |           c31 |  L7414  |
       662.0569 |     6 | 4.37e+05   | B+   |   93799.75  -   108900.02 | 2p6.4f | 2F*  | 7/2 | 2p6.6d  | 2D   | 5/2  |   8 - 6   |    |           c31 |  L7414  |
       678.1451 |     7 | 2.49e+06   | B+   |   97455.12  -   112197.17 | 2p6.5p | 2P*  | 1/2 | 2p6.7d  | 2D   | 3/2  |   2 - 4   |    |           c31 |  L7414  |
       678.7851 |     8 | 2.96e+06   | B+   |   97468.92  -   112197.05 | 2p6.5p | 2P*  | 3/2 | 2p6.7d  | 2D   | 5/2  |   4 - 6   |    |           c31 |  L7414  |
       681.2860 |     7 | 2.11e+06   | B+   |   97455.12  -   112129.20 | 2p6.5p | 2P*  | 1/2 | 2p6.8s  | 2S   | 1/2  |   2 - 2   |    |           c31 |  L7414  |
       681.9270 |     8 | 4.21e+06   | B+   |   97468.92  -   112129.20 | 2p6.5p | 2P*  | 3/2 | 2p6.8s  | 2S   | 1/2  |   4 - 2   |    |           c31 |  L7414  |
       716.6676 |    2* |            |      |  103689.86  -   117639.51 | 2p6.5f | 2F*  | 5/2 | 2p6.11g | 2G   | 7/2  |   6 - 8   |    |               |  L7414  |
       716.6676 |    2* |            |      |  103689.92  -   117639.51 | 2p6.5f | 2F*  | 7/2 | 2p6.11g | 2G   | 9/2  |   8 - 10  |    |               |  L7414  |
       758.0764 |    4* |            |      |  103689.86  -   116877.54 | 2p6.5f | 2F*  | 5/2 | 2p6.10g | 2G   | 7/2  |   6 - 8   |    |               |  L7414  |
       758.0764 |    4* |            |      |  103689.92  -   116877.54 | 2p6.5f | 2F*  | 7/2 | 2p6.10g | 2G   | 9/2  |   8 - 10  |    |               |  L7414  |
       758.9558 |     3 |            |      |  103705.66  -   116878.04 | 2p6.5g | 2G   | 9/2 | 2p6.10h | 2H*  | 11/2 |  10 - 12  |    |               |  L7414  |
       778.6500 |     5 | 1.97e+05   | B+   |   92790.51  -   105629.72 | 2p6.5s | 2S   | 1/2 | 2p6.6p  | 2P*  | 3/2  |   2 - 4   |    |           c31 |  L7414  |
       779.0978 |     4 | 1.84e+05   | B+   |   92790.51  -   105622.34 | 2p6.5s | 2S   | 1/2 | 2p6.6p  | 2P*  | 1/2  |   2 - 2   |    |           c31 |  L7414  |
       787.7051 |    12 | 6.58e+07   | A+   |   80619.50  -    93311.11 | 2p6.4p | 2P*  | 1/2 | 2p6.4d  | 2D   | 3/2  |   2 - 4   |    | c31,T6870,c23 |  L7414  |
       789.6368 |    13 | 7.86e+07   | A+   |   80650.02  -    93310.59 | 2p6.4p | 2P*  | 3/2 | 2p6.4d  | 2D   | 5/2  |   4 - 6   |    | c31,T6870,c23 |  L7414  |
